step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
69,1763450778.407747,0.999700,-1.474900,-2.206700,-1.051900,1.632500,-0.623800,0.922939,-1.431174,-2.250523,-1.046693,1.640308,-0.636886
70,1763450778.462116,0.999700,-1.475000,-2.206900,-1.050800,1.633500,-0.624000,0.923160,-1.432056,-2.249759,-1.046599,1.640483,-0.636934
71,1763450778.507758,0.999700,-1.475100,-2.207000,-1.050000,1.634200,-0.624100,0.923184,-1.432936,-2.249097,-1.046554,1.640645,-0.637072
72,1763450778.556370,0.999600,-1.475200,-2.207200,-1.049400,1.634800,-0.624300,0.923356,-1.433763,-2.248365,-1.046459,1.640819,-0.637191
73,1763450778.600567,0.999600,-1.475300,-2.207400,-1.048800,1.635200,-0.624400,0.923451,-1.434601,-2.247633,-1.046381,1.640987,-0.637448
74,1763450778.653564,0.999600,-1.475400,-2.207500,-1.048400,1.635500,-0.624500,0.923496,-1.435585,-2.246776,-1.046358,1.641151,-0.637666
75,1763450778.697205,0.999600,-1.475500,-2.207700,-1.048300,1.635800,-0.624600,0.923522,-1.436513,-2.245970,-1.046338,1.641314,-0.637946
76,1763450778.748454,0.999500,-1.475600,-2.207900,-1.047900,1.636000,-0.624600,0.923601,-1.437132,-2.245401,-1.046263,1.641474,-0.638169
77,1763450778.791070,0.999400,-1.475900,-2.207900,-1.047400,1.636300,-0.624700,0.923449,-1.438204,-2.244427,-1.046240,1.641652,-0.638571
78,1763450778.846675,0.999300,-1.476000,-2.207900,-1.047400,1.637200,-0.624400,0.923289,-1.439298,-2.243452,-1.046215,1.641830,-0.639002
79,1763450778.890278,0.999100,-1.476200,-2.207700,-1.047800,1.639100,-0.623900,0.923225,-1.440378,-2.242496,-1.046177,1.642005,-0.639228
80,1763450778.940663,0.998400,-1.476500,-2.206900,-1.049900,1.643300,-0.623200,0.923168,-1.441471,-2.241542,-1.046131,1.642174,-0.639506
81,1763450778.984105,0.997200,-1.477300,-2.205400,-1.052700,1.647900,-0.622800,0.923218,-1.442524,-2.240622,-1.046072,1.642342,-0.639643
82,1763450779.039006,0.994900,-1.479400,-2.203300,-1.054600,1.650900,-0.624500,0.923190,-1.443497,-2.239756,-1.046028,1.642514,-0.639911
83,1763450779.087545,0.991700,-1.482500,-2.200700,-1.055400,1.652500,-0.628600,0.923167,-1.444518,-2.238871,-1.045973,1.642684,-0.640088
84,1763450779.134334,0.988000,-1.486100,-2.197900,-1.055800,1.653400,-0.633400,0.923167,-1.445567,-2.237927,-1.045923,1.642856,-0.640273
85,1763450779.183021,0.983800,-1.490200,-2.194500,-1.056500,1.654100,-0.638700,0.923198,-1.446586,-2.237060,-1.045868,1.643013,-0.640395
86,1763450779.227884,0.979100,-1.495100,-2.190500,-1.056700,1.654600,-0.643200,0.923313,-1.447625,-2.236168,-1.045801,1.643170,-0.640433
87,1763450779.275360,0.973900,-1.500800,-2.185800,-1.056200,1.654900,-0.648300,0.923277,-1.448790,-2.235107,-1.045785,1.643311,-0.640655
88,1763450779.321440,0.968500,-1.506500,-2.180200,-1.056700,1.657400,-0.653600,0.923130,-1.450083,-2.233888,-1.045790,1.643454,-0.640978
89,1763450779.369684,0.962900,-1.512200,-2.174300,-1.058500,1.663200,-0.646800,0.923169,-1.451199,-2.232898,-1.045742,1.643604,-0.641027
90,1763450779.417544,0.956700,-1.518700,-2.167300,-1.060400,1.667800,-0.651800,0.923096,-1.452483,-2.231728,-1.045734,1.643755,-0.641277
91,1763450779.463093,0.950200,-1.525500,-2.161400,-1.059400,1.667300,-0.663900,0.923047,-1.453743,-2.230579,-1.045723,1.643901,-0.641470
92,1763450779.514533,0.943500,-1.532400,-2.154400,-1.060700,1.671200,-0.666500,0.923012,-1.454993,-2.229439,-1.045701,1.644052,-0.641682
93,1763450779.557223,0.936700,-1.539300,-2.147300,-1.061600,1.673500,-0.674400,0.922914,-1.456194,-2.228338,-1.045691,1.644203,-0.641962
94,1763450779.612458,0.930000,-1.546400,-2.140600,-1.061000,1.672700,-0.683300,0.922855,-1.457337,-2.227286,-1.045676,1.644346,-0.642155
95,1763450779.654981,0.923300,-1.553500,-2.134100,-1.060400,1.669300,-0.691300,0.922752,-1.458458,-2.226242,-1.045671,1.644487,-0.642426
96,1763450779.708272,0.917000,-1.560400,-2.126900,-1.061200,1.669300,-0.696500,0.922675,-1.459572,-2.225221,-1.045663,1.644620,-0.642672
97,1763450779.752660,0.910800,-1.567300,-2.120800,-1.060700,1.664500,-0.700900,0.922519,-1.460611,-2.224241,-1.045664,1.644755,-0.642998
98,1763450779.804746,0.904900,-1.573800,-2.113000,-1.063700,1.668500,-0.698400,0.922355,-1.461641,-2.223273,-1.045666,1.644887,-0.643361
99,1763450779.848480,0.899300,-1.580000,-2.107100,-1.063200,1.665800,-0.701500,0.922106,-1.462616,-2.222331,-1.045679,1.645021,-0.643816
100,1763450779.898209,0.893700,-1.586100,-2.100800,-1.063600,1.663400,-0.707200,0.922321,-1.462385,-2.222575,-1.045608,1.645031,-0.643647
101,1763450779.941732,0.888400,-1.591800,-2.095100,-1.064300,1.660500,-0.712700,0.922514,-1.462145,-2.222826,-1.045533,1.645050,-0.643540
102,1763450779.994982,0.883000,-1.597500,-2.089100,-1.065100,1.658900,-0.719000,0.922682,-1.461921,-2.223058,-1.045468,1.645064,-0.643421
103,1763450780.037465,0.877600,-1.603200,-2.083200,-1.065600,1.657200,-0.726100,0.922917,-1.461719,-2.223282,-1.045388,1.645085,-0.643239
104,1763450780.095190,0.877600,-1.603200,-2.083200,-1.065600,1.657200,-0.726100,0.923143,-1.461513,-2.223503,-1.045310,1.645107,-0.643071
105,1763450780.141281,0.865800,-1.616400,-2.069500,-1.066300,1.655800,-0.742400,0.923350,-1.461319,-2.223714,-1.045237,1.645131,-0.642938
106,1763450780.190276,0.865800,-1.616400,-2.069500,-1.066300,1.655800,-0.742400,0.923555,-1.461107,-2.223941,-1.045162,1.645154,-0.642801
107,1763450780.235188,0.859700,-1.623200,-2.061600,-1.068800,1.659700,-0.742600,0.923777,-1.460925,-2.224142,-1.045088,1.645175,-0.642620
108,1763450780.285872,0.853700,-1.630200,-2.054300,-1.068700,1.658900,-0.751500,0.923994,-1.460775,-2.224310,-1.045017,1.645201,-0.642465
109,1763450780.328900,0.847800,-1.637200,-2.046400,-1.070600,1.661400,-0.753200,0.924219,-1.460619,-2.224483,-1.044939,1.645227,-0.642291
110,1763450780.379868,0.842000,-1.644000,-2.038800,-1.071600,1.662600,-0.758200,0.924438,-1.460481,-2.224644,-1.044869,1.645250,-0.642130
111,1763450780.421921,0.836200,-1.650900,-2.031500,-1.071900,1.661500,-0.764900,0.924607,-1.460312,-2.224832,-1.044809,1.645279,-0.642057
112,1763450780.475490,0.830100,-1.658300,-2.023500,-1.072600,1.659700,-0.772400,0.924772,-1.460140,-2.225022,-1.044752,1.645306,-0.641969
113,1763450780.519989,0.824300,-1.665100,-2.016000,-1.073600,1.658500,-0.779800,0.924777,-1.460250,-2.224926,-1.044724,1.645332,-0.642023
114,1763450780.573339,0.818500,-1.672100,-2.008000,-1.074900,1.658800,-0.786100,0.924788,-1.460387,-2.224805,-1.044705,1.645351,-0.642056
115,1763450780.616927,0.812200,-1.679900,-1.998700,-1.077400,1.661500,-0.790700,0.924793,-1.460562,-2.224657,-1.044693,1.645369,-0.642074
116,1763450780.670731,0.805900,-1.687700,-1.989300,-1.079500,1.663000,-0.798600,0.924778,-1.460759,-2.224483,-1.044689,1.645384,-0.642117
117,1763450780.713969,0.799800,-1.695700,-1.980600,-1.079900,1.660500,-0.808300,0.924818,-1.460842,-2.224434,-1.044669,1.645399,-0.642087
118,1763450780.766318,0.793400,-1.704000,-1.970900,-1.081800,1.659600,-0.817100,0.924851,-1.460919,-2.224386,-1.044645,1.645421,-0.642105
119,1763450780.810469,0.787300,-1.712400,-1.961300,-1.083300,1.657900,-0.826100,0.924877,-1.460996,-2.224338,-1.044624,1.645442,-0.642132
120,1763450780.861723,0.781300,-1.720800,-1.951400,-1.085700,1.658900,-0.830700,0.924878,-1.461082,-2.224280,-1.044623,1.645461,-0.642167
121,1763450780.904671,0.775600,-1.728500,-1.941200,-1.089600,1.663400,-0.827300,0.924893,-1.461169,-2.224228,-1.044618,1.645477,-0.642176
122,1763450780.958915,0.770200,-1.736000,-1.931900,-1.091200,1.663100,-0.831800,0.924874,-1.461250,-2.224166,-1.044622,1.645493,-0.642224
123,1763450781.002098,0.765100,-1.743300,-1.924100,-1.091100,1.656600,-0.836900,0.924832,-1.461314,-2.224113,-1.044631,1.645510,-0.642294
124,1763450781.053633,0.760200,-1.749700,-1.915200,-1.094700,1.658800,-0.837600,0.924814,-1.461392,-2.224047,-1.044637,1.645523,-0.642323
125,1763450781.099956,0.755700,-1.755800,-1.908200,-1.095600,1.655600,-0.843000,0.924755,-1.461439,-2.224011,-1.044653,1.645530,-0.642428
126,1763450781.148246,0.751400,-1.761500,-1.901300,-1.096600,1.652100,-0.848100,0.924668,-1.461534,-2.223926,-1.044679,1.645543,-0.642505
